"","Year","state","total_sum"
"768","2011","West Virginia",185491
"769","2011","Wisconsin",322761
"770","2011","Wyoming",52224
"771","2012","Alabama",431356
"772","2012","Alaska",85342
"773","2012","Arizona",339663
"774","2012","Arkansas",246193
"775","2012","California",1132603
"776","2012","Colorado",414838
"777","2012","Connecticut",237496
"778","2012","Delaware",30724
"779","2012","District of Columbia",449
"780","2012","Florida",834319
"781","2012","Georgia",465560
"782","2012","Guam",930
"783","2012","Hawaii",17428
"784","2012","Idaho",136482
"785","2012","Illinois",1036061
"786","2012","Indiana",475607
"787","2012","Iowa",147700
"788","2012","Kansas",210972
"789","2012","Kentucky",2589358
"790","2012","Louisiana",326290
"791","2012","Maine",91834
"792","2012","Mariana Islands",5
"793","2012","Maryland",136604
"794","2012","Massachusetts",210453
"795","2012","Michigan",430405
"796","2012","Minnesota",440992
"797","2012","Mississippi",222297
"798","2012","Missouri",513303
"799","2012","Montana",134455
"800","2012","Nebraska",85860
"801","2012","Nevada",146363
"802","2012","New Hampshire",128178
"803","2012","New Jersey",85851
"804","2012","New Mexico",143419
"805","2012","New York",338619
"806","2012","North Carolina",489307
"807","2012","North Dakota",84867
"808","2012","Ohio",629215
"809","2012","Oklahoma",367976
"810","2012","Oregon",267041
"811","2012","Pennsylvania",968534
"812","2012","Puerto Rico",15545
"813","2012","Rhode Island",24050
"814","2012","South Carolina",308408
"815","2012","South Dakota",88447
"816","2012","Tennessee",524122
"817","2012","Texas",1436132
"818","2012","Utah",230999
"819","2012","Vermont",34507
"820","2012","Virgin Islands",399
"821","2012","Virginia",448754
"822","2012","Washington",519209
"823","2012","West Virginia",225580
"824","2012","Wisconsin",469375
"825","2012","Wyoming",63356
"826","2013","Alabama",563880
"827","2013","Alaska",93405
"828","2013","Arizona",363036
"829","2013","Arkansas",279736
"830","2013","California",1368295
"831","2013","Colorado",514658
"832","2013","Connecticut",294338
"833","2013","Delaware",40062
"834","2013","District of Columbia",497
"835","2013","Florida",1073859
"836","2013","Georgia",527885
"837","2013","Guam",1331
"838","2013","Hawaii",17416
"839","2013","Idaho",147494
"840","2013","Illinois",1280613
"841","2013","Indiana",597124
"842","2013","Iowa",160062
"843","2013","Kansas",228105
"844","2013","Kentucky",1578331
"845","2013","Louisiana",353025
"846","2013","Maine",96760
"847","2013","Mariana Islands",13
"848","2013","Maryland",231182
"849","2013","Massachusetts",251361
"850","2013","Michigan",503979
"851","2013","Minnesota",525774
"852","2013","Mississippi",231711
"853","2013","Missouri",567009
"854","2013","Montana",137830
"855","2013","Nebraska",91553
"856","2013","Nevada",146892
"857","2013","New Hampshire",147726
"858","2013","New Jersey",120071
"859","2013","New Mexico",156333
"860","2013","New York",353064
"861","2013","North Carolina",574622
"862","2013","North Dakota",85812
"863","2013","Ohio",680930
"864","2013","Oklahoma",380634
"865","2013","Oregon",274302
"866","2013","Pennsylvania",1044731
"867","2013","Puerto Rico",16968
"868","2013","Rhode Island",26666
"869","2013","South Carolina",335695
"870","2013","South Dakota",92055
"871","2013","Tennessee",600869
"872","2013","Texas",1633278
"873","2013","Utah",324604
"874","2013","Vermont",36135
"875","2013","Virgin Islands",1134
"876","2013","Virginia",498426
"877","2013","Washington",561122
"878","2013","West Virginia",248952
"879","2013","Wisconsin",434688
"880","2013","Wyoming",70671
"881","2014","Alabama",621305
"882","2014","Alaska",87623
"883","2014","Arizona",310672
"884","2014","Arkansas",234282
"885","2014","California",1474616
"886","2014","Colorado",413284
"887","2014","Connecticut",270297
"888","2014","Delaware",42950
"889","2014","District of Columbia",512
"890","2014","Florida",1034546
"891","2014","Georgia",484580
"892","2014","Guam",2060
"893","2014","Hawaii",15225
"894","2014","Idaho",131742
"895","2014","Illinois",1344096
"896","2014","Indiana",647550
"897","2014","Iowa",127022
"898","2014","Kansas",172167
"899","2014","Kentucky",2492184
"900","2014","Louisiana",315357
"901","2014","Maine",83085
"902","2014","Mariana Islands",12
"903","2014","Maryland",142207
